Region,EV_Incentive_Amount_(USD),Annual_Energy_Savings_(%)
Pacific Northwest,5000,4.5
California,7500,6.2
Southwest,2000,3.0
Rocky Mountains,3000,3.6
Midwest,4000,4.1
Great Lakes,6000,5.0
Southeast,3500,4.3
Mid-Atlantic,7000,6.5
New England,8000,7.2
Texas,4500,5.1
Prairies,2500,3.9
British Columbia,9000,7.8
Ontario,8500,6.9
Quebec,9500,8.4
Atlantic Canada,5000,4.8
Northern Territories,4000,3.2
Scandinavia,10000,8.7
Western Europe,9500,7.4
Eastern Europe,7000,6.8
South Asia,1500,2.9
East Asia,8500,7.5
Southeast Asia,6000,5.6
Sub-Saharan Africa,2000,3.7
North Africa,2500,4.1
Middle East,5000,5.2
South America,3000,3.1
Central America,4000,4.5
Oceania,7000,6.2
Caribbean,5000,4.9
Eastern Canada,6500,5.8
